candidate_id,honeypot_duration_mismatch_flag,honeypot_expert_zero_duration_flag,honeypot_flag,honeypot_evidence
CAND_0000001,False,False,False,
CAND_0000002,False,False,False,
CAND_0000003,False,False,False,
CAND_0000004,False,False,False,
CAND_0000005,False,False,False,
CAND_0000006,False,False,False,
CAND_0000007,False,False,False,
CAND_0000008,False,False,False,
CAND_0000009,False,False,False,
CAND_0000010,False,False,False,
CAND_0000011,False,False,False,
CAND_0000012,False,False,False,
CAND_0000013,False,False,False,
CAND_0000014,False,False,False,
CAND_0000015,False,False,False,
CAND_0000016,False,False,False,
CAND_0000017,False,False,False,
CAND_0000018,False,False,False,
CAND_0000019,False,False,False,
CAND_0000020,False,False,False,
CAND_0000021,False,False,False,
CAND_0000022,False,False,False,
CAND_0000023,False,False,False,
CAND_0000024,False,False,False,
CAND_0000025,False,False,False,
CAND_0000026,False,False,False,
CAND_0000027,False,False,False,
CAND_0000028,False,False,False,
CAND_0000029,False,False,False,
CAND_0000030,False,False,False,
CAND_0000031,False,False,False,
CAND_0000032,False,False,False,
CAND_0000033,False,False,False,
CAND_0000034,False,False,False,
CAND_0000035,False,False,False,
CAND_0000036,False,False,False,
CAND_0000037,False,False,False,
CAND_0000038,False,False,False,
CAND_0000039,False,False,False,
CAND_0000040,False,False,False,
CAND_0000041,False,False,False,
CAND_0000042,False,False,False,
CAND_0000043,False,False,False,
CAND_0000044,False,False,False,
CAND_0000045,False,False,False,
CAND_0000046,False,False,False,
CAND_0000047,False,False,False,
CAND_0000048,False,False,False,
CAND_0000049,False,False,False,
CAND_0000050,False,False,False,
CAND_0000051,False,False,False,
CAND_0000052,False,False,False,
CAND_0000053,False,False,False,
CAND_0000054,False,False,False,
CAND_0000055,False,False,False,
CAND_0000056,False,False,False,
CAND_0000057,False,False,False,
CAND_0000058,False,False,False,
CAND_0000059,False,False,False,
CAND_0000060,False,False,False,
CAND_0000061,False,False,False,
CAND_0000062,False,False,False,
CAND_0000063,False,False,False,
CAND_0000064,False,False,False,
CAND_0000065,False,False,False,
CAND_0000066,False,False,False,
CAND_0000067,False,False,False,
CAND_0000068,False,False,False,
CAND_0000069,False,False,False,
CAND_0000070,False,False,False,
CAND_0000071,False,False,False,
CAND_0000072,False,False,False,
CAND_0000073,False,False,False,
CAND_0000074,False,False,False,
CAND_0000075,False,False,False,
CAND_0000076,False,False,False,
CAND_0000077,False,False,False,
CAND_0000078,False,False,False,
CAND_0000079,False,False,False,
CAND_0000080,False,False,False,
CAND_0000081,False,False,False,
CAND_0000082,False,False,False,
CAND_0000083,False,False,False,
CAND_0000084,False,False,False,
CAND_0000085,False,False,False,
CAND_0000086,False,False,False,
CAND_0000087,False,False,False,
CAND_0000088,False,False,False,
CAND_0000089,False,False,False,
CAND_0000090,False,False,False,
CAND_0000091,False,False,False,
CAND_0000092,False,False,False,
CAND_0000093,False,False,False,
CAND_0000094,False,False,False,
CAND_0000095,False,False,False,
CAND_0000096,False,False,False,
CAND_0000097,False,False,False,
CAND_0000098,False,False,False,
CAND_0000099,False,False,False,
CAND_0000100,False,False,False,
CAND_0000101,False,False,False,
CAND_0000102,False,False,False,
CAND_0000103,False,False,False,
CAND_0000104,False,False,False,
CAND_0000105,False,False,False,
CAND_0000106,False,False,False,
CAND_0000107,False,False,False,
CAND_0000108,False,False,False,
CAND_0000109,False,False,False,
CAND_0000110,False,False,False,
CAND_0000111,False,False,False,
CAND_0000112,False,False,False,
CAND_0000113,False,False,False,
CAND_0000114,False,False,False,
CAND_0000115,False,False,False,
CAND_0000116,False,False,False,
CAND_0000117,False,False,False,
CAND_0000118,False,False,False,
CAND_0000119,False,False,False,
CAND_0000120,False,False,False,
CAND_0000121,False,False,False,
CAND_0000122,False,False,False,
CAND_0000123,False,False,False,
CAND_0000124,False,False,False,
CAND_0000125,False,False,False,
CAND_0000126,False,False,False,
CAND_0000127,False,False,False,
CAND_0000128,False,False,False,
CAND_0000129,False,False,False,
CAND_0000130,False,False,False,
CAND_0000131,False,False,False,
CAND_0000132,False,False,False,
CAND_0000133,False,False,False,
CAND_0000134,False,False,False,
CAND_0000135,False,False,False,
CAND_0000136,False,False,False,
CAND_0000137,False,False,False,
CAND_0000138,False,False,False,
CAND_0000139,False,False,False,
CAND_0000140,False,False,False,
CAND_0000141,False,False,False,
CAND_0000142,False,False,False,
CAND_0000143,False,False,False,
CAND_0000144,False,False,False,
CAND_0000145,False,False,False,
CAND_0000146,False,False,False,
CAND_0000147,False,False,False,
CAND_0000148,False,False,False,
CAND_0000149,False,False,False,
CAND_0000150,False,False,False,
CAND_0000151,False,False,False,
CAND_0000152,False,False,False,
CAND_0000153,False,False,False,
CAND_0000154,False,False,False,
CAND_0000155,False,False,False,
CAND_0000156,False,False,False,
CAND_0000157,False,False,False,
CAND_0000158,False,False,False,
CAND_0000159,False,False,False,
CAND_0000160,False,False,False,
CAND_0000161,False,False,False,
CAND_0000162,False,False,False,
CAND_0000163,False,False,False,
CAND_0000164,False,False,False,
CAND_0000165,False,False,False,
CAND_0000166,False,False,False,
CAND_0000167,False,False,False,
CAND_0000168,False,False,False,
CAND_0000169,False,False,False,
CAND_0000170,False,False,False,
CAND_0000171,False,False,False,
CAND_0000172,False,False,False,
CAND_0000173,False,False,False,
CAND_0000174,False,False,False,
CAND_0000175,False,False,False,
CAND_0000176,False,False,False,
CAND_0000177,False,False,False,
CAND_0000178,False,False,False,
CAND_0000179,False,False,False,
CAND_0000180,False,False,False,
CAND_0000181,False,False,False,
CAND_0000182,False,False,False,
CAND_0000183,False,False,False,
CAND_0000184,False,False,False,
CAND_0000185,False,False,False,
CAND_0000186,False,False,False,
CAND_0000187,False,False,False,
CAND_0000188,False,False,False,
CAND_0000189,False,False,False,
CAND_0000190,False,False,False,
CAND_0000191,False,False,False,
CAND_0000192,False,False,False,
CAND_0000193,False,False,False,
CAND_0000194,False,False,False,
CAND_0000195,False,False,False,
CAND_0000196,False,False,False,
CAND_0000197,False,False,False,
CAND_0000198,False,False,False,
CAND_0000199,False,False,False,
CAND_0000200,False,False,False,
CAND_0000201,False,False,False,
CAND_0000202,False,False,False,
CAND_0000203,False,False,False,
CAND_0000204,False,False,False,
CAND_0000205,False,False,False,
CAND_0000206,False,False,False,
CAND_0000207,False,False,False,
CAND_0000208,False,False,False,
CAND_0000209,False,False,False,
CAND_0000210,False,False,False,
CAND_0000211,False,False,False,
CAND_0000212,False,False,False,
CAND_0000213,False,False,False,
CAND_0000214,False,False,False,
CAND_0000215,False,False,False,
CAND_0000216,False,False,False,
CAND_0000217,False,False,False,
CAND_0000218,False,False,False,
CAND_0000219,False,False,False,
CAND_0000220,False,False,False,
CAND_0000221,False,False,False,
CAND_0000222,False,False,False,
CAND_0000223,False,False,False,
CAND_0000224,False,False,False,
CAND_0000225,False,False,False,
CAND_0000226,False,False,False,
CAND_0000227,False,False,False,
CAND_0000228,False,False,False,
CAND_0000229,False,False,False,
CAND_0000230,False,False,False,
CAND_0000231,False,False,False,
CAND_0000232,False,False,False,
CAND_0000233,False,False,False,
CAND_0000234,False,False,False,
CAND_0000235,False,False,False,
CAND_0000236,False,False,False,
CAND_0000237,False,False,False,
CAND_0000238,False,False,False,
CAND_0000239,False,False,False,
CAND_0000240,False,False,False,
CAND_0000241,False,False,False,
CAND_0000242,False,False,False,
CAND_0000243,False,False,False,
CAND_0000244,False,False,False,
CAND_0000245,False,False,False,
CAND_0000246,False,False,False,
CAND_0000247,False,False,False,
CAND_0000248,False,False,False,
CAND_0000249,False,False,False,
CAND_0000250,False,False,False,
CAND_0000251,False,False,False,
CAND_0000252,False,False,False,
CAND_0000253,False,False,False,
CAND_0000254,False,False,False,
CAND_0000255,False,False,False,
CAND_0000256,False,False,False,
CAND_0000257,False,False,False,
CAND_0000258,False,False,False,
CAND_0000259,False,False,False,
CAND_0000260,False,False,False,
CAND_0000261,False,False,False,
CAND_0000262,False,False,False,
CAND_0000263,False,False,False,
CAND_0000264,False,False,False,
CAND_0000265,False,False,False,
CAND_0000266,False,False,False,
CAND_0000267,False,False,False,
CAND_0000268,False,False,False,
CAND_0000269,False,False,False,
CAND_0000270,False,False,False,
CAND_0000271,False,False,False,
CAND_0000272,False,False,False,
CAND_0000273,False,False,False,
CAND_0000274,False,False,False,
CAND_0000275,False,False,False,
CAND_0000276,False,False,False,
CAND_0000277,False,False,False,
CAND_0000278,False,False,False,
CAND_0000279,False,False,False,
CAND_0000280,False,False,False,
CAND_0000281,False,False,False,
CAND_0000282,False,False,False,
CAND_0000283,False,False,False,
CAND_0000284,False,False,False,
CAND_0000285,False,False,False,
CAND_0000286,False,False,False,
CAND_0000287,False,False,False,
CAND_0000288,False,False,False,
CAND_0000289,False,False,False,
CAND_0000290,False,False,False,
CAND_0000291,False,False,False,
CAND_0000292,False,False,False,
CAND_0000293,False,False,False,
CAND_0000294,False,False,False,
CAND_0000295,False,False,False,
CAND_0000296,False,False,False,
CAND_0000297,False,False,False,
CAND_0000298,False,False,False,
CAND_0000299,False,False,False,
CAND_0000300,False,False,False,
CAND_0000301,False,False,False,
CAND_0000302,False,False,False,
CAND_0000303,False,False,False,
CAND_0000304,False,False,False,
CAND_0000305,False,False,False,
CAND_0000306,False,False,False,
